Symbol,Open,High,Low,Close,Volume,Market_Cap,Time
BTC,28851.4796617854,29668.9076771209,28845.5105337151,29534.384019705,17936566518.34,571935354879.7,2023-05-05T23:59:59.999Z
BTC,29538.859004621,29820.1266220765,28468.9674098562,28904.6239490708,15913866714.47,559767467680.94,2023-05-06T23:59:59.999Z
BTC,28901.6228241325,29157.5181853347,28441.3680383238,28454.9782855135,11301355486.45,551083296208.8,2023-05-07T23:59:59.999Z
BTC,28450.4574779637,28663.2723318452,27310.1356123737,27694.2728962731,19122903752.39,536375393861.25,2023-05-08T23:59:59.999Z
BTC,27695.0680692549,27821.4006063564,27375.6006902588,27658.774672519,14128593255.78,535713623918.83,2023-05-09T23:59:59.999Z
BTC,27654.6367765788,28322.6883278863,26883.6698825657,27621.7562273313,20656025025.55,535026153601.52,2023-05-10T23:59:59.999Z
BTC,27621.0868718167,27621.9419861764,26781.8270021461,27000.7882707338,16724343943.18,523022981321.22,2023-05-11T23:59:59.999Z
BTC,26987.6625136386,27055.6472281282,25878.428829536,26804.9906706878,19313599897.31,519254029391.83,2023-05-12T23:59:59.999Z
BTC,26807.7690443986,27030.4829603024,26710.8738030477,26784.0785608824,9999171605.08,518873704830.19,2023-05-13T23:59:59.999Z
BTC,26788.9742917708,27150.9767916992,26661.3549036476,26930.6378455643,10014858959.48,521742220416.76,2023-05-14T23:59:59.999Z
BTC,26931.3846319054,27646.3481186699,26766.0969160443,27192.6932211649,14413231792.03,526844318152.29,2023-05-15T23:59:59.999Z
BTC,27171.5145793968,27299.3048116412,26878.9479718172,27036.650709944,12732238815.9,523846408825.17,2023-05-16T23:59:59.999Z
BTC,27035.4701297138,27465.9279042946,26600.144844308,27398.8020279652,15140006925.18,530890147614.67,2023-05-17T23:59:59.999Z
BTC,27401.650207989,27466.5275901847,26415.1014830457,26832.209300486,15222938600.41,519935930271.57,2023-05-18T23:59:59.999Z
BTC,26826.7547863893,27128.6188432596,26700.2101422999,26890.1282424083,11258983300.89,521083278041.79,2023-05-19T23:59:59.999Z
BTC,26888.8413910538,27155.1590263728,26843.2773808623,27129.5862550312,7044911360.48,525746096848.12,2023-05-20T23:59:59.999Z
BTC,27118.4232282803,27265.917991796,26706.9213535133,26753.8256390547,8647416920.95,518489461930.79,2023-05-21T23:59:59.999Z
BTC,26749.8932054031,27045.7350857875,26549.7347924388,26851.2776278913,11056770492.11,520401926578.4,2023-05-22T23:59:59.999Z
BTC,26855.9606820402,27434.6843282044,26816.1797181209,27225.7265906348,13697203142.64,527685629563.87,2023-05-23T23:59:59.999Z
BTC,27224.6037024623,27224.6037024623,26106.576623118,26334.8182144365,16299104428.23,510440697384.33,2023-05-24T23:59:59.999Z
BTC,26329.4615125873,26591.5191830944,25890.5944753459,26476.2075319731,13851122696.86,513207340509.25,2023-05-25T23:59:59.999Z
BTC,26474.1824692754,26916.669912854,26343.9491574985,26719.2909846173,12711619225.45,517943916949.93,2023-05-26T23:59:59.999Z
BTC,26720.1825135591,26888.883370776,26621.1414051027,26868.3538184312,7892015141.24,520858138785.14,2023-05-27T23:59:59.999Z
ETH,1793.3459124018,1827.2802318879,1766.2489483428,1792.7371357773,9724496986.91,219384174417.3,2023-03-30T23:59:59.999Z
ETH,1793.6200946137,1844.6773771632,1783.1421515183,1822.0221185209,9149379763.25,219476732219.84,2023-03-31T23:59:59.999Z
ETH,1821.7043535926,1840.1731089734,1811.1184765157,1813.8605590338,5556443606.46,218493608915.33,2023-04-01T23:59:59.999Z
